Tamias minimus,Tamias,minimus,UWBM,74537,Tamias_UWBM_74537_skull(2).lmk
Tamiops maritimus,Tamiops,maritimus,NHMUK,2022.5.4,Tam_mar-NHMUK-2022-5-4.lmk
Thomomys talpoides,Thomomys,talpoides,CBUN,FU23CB,THOtal_CBUN_FU23CB.lmk
Thrichomys laurentius,Thrichomys,laurentius,NHMUK,3.10.1.118-221,TRIlaur_NHM31011118221_skull.lmk
Thryonomys swinderianus,Thryonomys,swinderianus,MNHN-ZM-MO,1996-41,THRswin_MNHN199641_skull.lmk
Tylomys watsoni,Tylomys,watsoni,USNM,460459,TYLwats_USNM460459.lmk
Typhlomys cinereus,Typhlomys,cinereus,RUS,101505,TYPcine_RUS101505_skull(2).lmk
Uranomys ruddi,Uranomys,ruddi,MNHN-ZM-MO,1996-2080,URArudd_MNHN19962080_skull(2).lmk
Urocitellus richardsonii,Urocitellus,richardsonii,NHMUK,1893.1.5.1,Spermophilus_NHM_1893_1_5_1or2_skull_2563_1665_1525_00205932.resampled.lmk
Xerus erythropus,Xerus,erythropus,NHMUK,1922.3.3.11,XERery_NHMUK_22_3_3_11_skull(2).lmk
Zelotomys woosnami,Zelotomys,woosnami,NHMUK,1910.6.3.86,Zelotomys_woosrani_19106_3_86_skull_1621_1605_3187_000954868.resampled.lmk
Zygodontomys brevicauda,Zygodontomys,brevicauda,JAGUARS,M1376,ZYGbrev_JAGUARSM1376.lmk
